"data","temp_max_dia","temp_min_dia","umidade_max_dia","umidade_min_dia","vento_medio_dia","chuva_total_dia"
2006-07-25,27.9,22.2,66,45,1.76,0
2006-07-26,27.5,15.6,87,44,1.62083333333333,0.4
2006-07-27,28.2,14.4,87,42,1.54583333333333,0
2006-07-28,29.4,17.5,98,51,1.66666666666667,0
2006-07-29,24.8,13.1,100,60,2.80416666666667,9
2006-07-30,13.3,10.5,NA,NA,2.59583333333333,3
2006-07-31,15.9,10.6,NA,NA,2.04166666666667,11
2006-08-01,15.2,11.5,100,94,1.2625,2.4
2006-08-02,15.4,13.3,100,94,1.85416666666667,0.2
2006-08-03,19.8,13.4,100,76,2.0125,0
2006-08-04,24.1,13.5,100,51,1.2375,0
2006-08-05,26.2,12.9,100,50,1.08333333333333,0
2006-08-06,28.6,14.3,100,41,1.05,0
2006-08-07,28.5,15.1,92,35,1.33333333333333,0
2006-08-08,28.6,15.5,83,38,1.675,0
2006-08-09,27.3,15.7,70,35,2.19583333333333,0
2006-08-10,29.2,19.7,64,41,1.92083333333333,0
2006-08-11,28.2,16.3,93,42,2.12916666666667,0
2006-08-12,28.4,16.2,88,41,1.5625,0
2006-08-13,28.4,16.7,83,44,1.45,0
2006-08-14,28.4,16.6,83,42,1.9375,0
2006-08-15,30.1,18,75,39,1.08571428571429,0
2006-08-16,30.7,17.5,95,38,2.42083333333333,0
2006-08-17,23.3,16.7,99,73,2.2375,0
2006-08-18,24.5,16.7,100,69,2.4375,0
2006-08-19,19,15.8,100,86,2.04166666666667,0
2006-08-20,22.5,15.1,100,51,1.85,0.6
2006-08-21,17.9,11,96,55,2.125,0
2006-08-22,20.5,7.8,92,52,2.38333333333333,0
2006-08-23,25.6,9.1,100,38,1.3625,0
2006-08-24,26.4,11.4,97,43,1.575,0
2006-08-25,28.7,14.4,100,36,2.39583333333333,0
2006-08-26,29.2,15.4,78,36,1.64583333333333,0
2006-08-27,24.3,16.6,100,48,4.29166666666667,3
2006-08-28,23.6,15.2,98,57,1.775,0
2006-08-29,16.7,9.6,100,81,3.45,0
2006-08-30,19.6,8.8,100,55,3.48333333333333,0
2006-08-31,25.9,10.4,100,50,2.95833333333333,0
2006-09-01,26.7,15.3,100,59,2.74166666666667,26
2006-09-02,23.3,14,100,60,3.74583333333333,9.8
2006-09-03,24.4,14.3,96,36,3.05833333333333,0
2006-09-04,16.4,9.1,96,68,2.45416666666667,0.6
2006-09-05,13.9,8,83,54,2.8125,0
2006-09-06,14.5,6.3,95,71,3.14166666666667,0
2006-09-07,21.5,10.6,93,55,3.72916666666667,0
2006-09-08,25.9,12.8,100,49,2.9,0
2006-09-09,27.5,13.7,94,43,2.77083333333333,0
2006-09-10,27,18.1,82,52,1.23333333333333,0
2006-09-11,31.3,15.9,92,40,1.2875,0
2006-09-12,32,18.4,80,37,1.125,0
2006-09-13,32.4,19.1,79,35,1.30833333333333,0
2006-09-14,32,18.5,87,33,1.59166666666667,0
2006-09-15,33.6,19.2,61,33,1.95,0
2006-09-16,29.6,15.2,100,40,2.825,3.4
2006-09-17,22.5,13.9,100,75,2.15416666666667,6.4
2006-09-18,22.4,15.6,100,70,2.35833333333333,9.4
2006-09-19,24.7,14.7,100,52,2.55416666666667,0
2006-09-20,25.7,16.7,100,66,2.5625,6
2006-09-21,23.9,16.7,98,62,2.925,0
2006-09-22,24.7,14.4,96,55,1.62083333333333,0
2006-09-23,28.6,14.4,100,52,2.21666666666667,3.6
2006-09-24,17.9,13.3,100,86,2.4375,1.2
2006-09-25,15.8,12.9,100,90,2.4125,0
2006-09-26,18.8,12.9,99,75,3.54166666666667,0
2006-09-27,24.9,14.1,100,55,3.42083333333333,0
2006-09-28,28.4,13.6,100,42,1.70909090909091,0
2006-09-29,22.6,15.7,100,63,2.26666666666667,0.8
2006-09-30,18.9,14.8,100,87,2.7375,9.2
2006-10-01,21.3,15.5,100,83,2.7,2
2006-10-02,26.2,17.3,100,64,2.09583333333333,4.2
2006-10-03,28.5,17.9,100,51,1.92083333333333,0
2006-10-04,29,17.4,100,60,2.47083333333333,0
2006-10-05,28.9,18.8,100,44,2.06521739130435,8.6
2006-10-06,24.5,17.2,91,67,1.8125,0.2
2006-10-07,24.5,16.5,96,66,1.7125,2.6
2006-10-08,24.2,17.1,93,54,2.12083333333333,0
2006-10-09,25.6,16.7,90,53,2.875,0
2006-10-10,26.2,17.6,95,54,2.95416666666667,14.2
2006-10-11,28.6,17.7,92,36,1.85833333333333,0.2
2006-10-12,25,20.5,87,52,1.27916666666667,0.6
2006-10-13,23,18.2,96,71,1.7125,1.2
2006-10-14,27.2,18.5,92,52,2.0375,0
2006-10-15,31.6,18.9,87,36,2.48333333333333,0
2006-10-16,25.8,19.1,96,62,1.54166666666667,34.8
2006-10-17,20.4,16.7,96,79,2.61666666666667,0.2
2006-10-18,19,15.8,96,79,2.33333333333333,1
2006-10-19,18,15.5,96,86,2.04583333333333,19.8
2006-10-20,19.7,14.5,94,67,2.55833333333333,0
2006-10-21,20.2,13.7,91,55,3.30416666666667,0
2006-10-22,25.3,11.6,86,24,2.77083333333333,0
2006-10-23,23.2,12.2,89,34,3.225,0
2006-10-24,26.2,15.2,84,40,3.29166666666667,0
2006-10-25,29.1,15.6,89,34,1.9125,0
2006-10-26,29.8,18.6,80,38,2.84166666666667,0
2006-10-27,27,16.3,93,48,2.22083333333333,1
2006-10-28,26.4,14.7,86,32,2.29583333333333,0
2006-10-29,25.2,15.1,82,47,2.55416666666667,0
2006-10-30,31.8,15.5,89,22,2.14583333333333,0
2006-10-31,33.1,17.6,88,23,1.74166666666667,0
2006-11-01,27,19.2,95,61,1.77916666666667,27.8
2006-11-02,25.8,20.2,94,66,2.45416666666667,8.2
